Timestep Origin,Normalized Integrated ACF
2000,1.0
4000,0.9356709119145776
6000,0.9353743235275287
8000,0.9413361808704193
10000,0.9033738335913516
12000,0.9137015731321849
14000,0.9218867751577938
16000,0.9530197264184087
18000,0.9738114647108983
20000,0.9636682204494257
22000,0.9203733063708815
24000,0.8712226876565101
26000,0.847784258510105
28000,0.8429857075444639
30000,0.8478990700726641
32000,0.8693608985357193
34000,0.9089730219106088
36000,0.9471914321168596
38000,0.9664377893053013
40000,0.9618971486643195
42000,0.9382634433730834
44000,0.9027564759101684
46000,0.86879480477658
48000,0.8349031294479788
50000,0.8077290185471483
52000,0.7922570192829516
54000,0.7809518611271586
56000,0.7770733008392914
58000,0.7736732282072462
60000,0.7639714693607967
62000,0.7538877034357788
64000,0.739027323966425
66000,0.720000265862749
68000,0.699098064774355
70000,0.6812965761992404
72000,0.6637202830647125
74000,0.6467864621335272
76000,0.6317818532035337
78000,0.6236016280881378
80000,0.6171204607120563
82000,0.6071047135857328
84000,0.5961031370629152
86000,0.583572397699538
88000,0.57182992549322
90000,0.5614597340159514
92000,0.5540027277052544
94000,0.5475059466057721
96000,0.5409081108938089
98000,0.533360003861536
100000,0.5287797915728292
102000,0.5302603992435164
104000,0.530896360648979
106000,0.5249387778735821
108000,0.51746950598083
110000,0.5132213965755783
112000,0.5153591809150736
114000,0.5212126204953931
116000,0.535484016454088
118000,0.5473490546120744
120000,0.5553551561304316
122000,0.5611990932655032
124000,0.562797311426169
126000,0.5732233588589681
128000,0.5895254471921081
130000,0.5974193259261874
132000,0.5936209503200265
134000,0.5872146673999163
136000,0.5824365210119794
138000,0.5782598806972542
140000,0.5727342860450826
142000,0.5664143760626661
144000,0.5586661393886116
146000,0.5514113285612797
148000,0.5445405352051043
150000,0.5374893512634783
152000,0.5314295198692229
154000,0.526496761183996
156000,0.5229995242606078
158000,0.5202750620123362
160000,0.5176809916954226
162000,0.512879395506787
164000,0.5083357083416838
166000,0.5050363083832102
168000,0.4995049181132175
170000,0.4941693497747026
172000,0.4905607350277678
174000,0.4885811292690037
176000,0.4848764799947754
178000,0.4799289830498213
180000,0.47492785997371745
182000,0.4705535013326555
184000,0.46616173808775796
186000,0.462749312521584
188000,0.46032530356174894
190000,0.45734657874773427
192000,0.45395552304521347
194000,0.4524295130081424
196000,0.4511952502357544
198000,0.45393782790834863
200000,0.4554398307622061
202000,0.4569227373245761
204000,0.4607338160734152
206000,0.4639799635417517
208000,0.46963182113691754
210000,0.4794924612246238
212000,0.48576280042598663
214000,0.4879379358780438
216000,0.4902570856968997
218000,0.49180169457974227
220000,0.49583629641583987
222000,0.499675184509445
224000,0.5048282196082141
226000,0.5100908369252659
228000,0.5130148775827812
230000,0.5136060550619063
232000,0.5135021037974121
234000,0.512043018205069
236000,0.5086239371602514
238000,0.5050779170417931
240000,0.5031905840529322
242000,0.5012082285010125
244000,0.5000089664767945
246000,0.5000768720500394
248000,0.49942072529207204
250000,0.4982576462816439
252000,0.49670075543273695
254000,0.496257764172159
256000,0.4953034927376069
258000,0.4952886002782755
260000,0.49475680024153773
262000,0.49457778256541785
264000,0.4932134769893154
266000,0.49155947611956124
268000,0.4904176405944397
270000,0.4924560768844285
272000,0.4967756158982867
274000,0.4983666719102867
276000,0.49919789137859727
278000,0.5005795743774255
280000,0.5022649755318971
282000,0.5027697070976693
284000,0.5046658377948373
286000,0.5062634383544039
288000,0.5084926604796002
290000,0.5116822714022641
292000,0.514729066425189
294000,0.515835320888365
296000,0.5171775278052143
298000,0.5188632535443988
300000,0.5204453480339711
302000,0.5215612721988224
304000,0.5255155882192446
306000,0.5313404316113929
308000,0.534810886502363
310000,0.536739616152792
312000,0.5387942601620628
314000,0.5401549733023505
